"site_code","plot_id","treatment_code","location_within_plot","subplot","date","year","collector","cover_type","cover_category","cover_amount"
"LDP","1","N","IP","1",NA,2009,"CMC","Crassula_connata","annual",0.001
"LDP","1","N","IP","1",NA,2009,"CMC","Draba_cuneifolia","annual",0.02
"LDP","1","N","IP","1",NA,2009,"CMC","Pectocarya","annual",0.25
"LDP","1","N","IP","1",NA,2009,"CMC","Plantago_ovata","annual",0.01
"LDP","1","N","IP","1",NA,2009,"CMC","sampled","record_keeping",1
"LDP","1","N","IP","1",NA,2009,"CMC","Schismus_arabicus","annual",0.1
"LDP","1","N","IP","2",NA,2009,"CMC","Draba_cuneifolia","annual",0.03
"LDP","1","N","IP","2",NA,2009,"CMC","Logfia_arizonica","annual",0.01
"LDP","1","N","IP","2",NA,2009,"CMC","Pectocarya","annual",0.08
"LDP","1","N","IP","2",NA,2009,"CMC","Plagiobothrys_arizonicus","annual",0.001
"LDP","1","N","IP","2",NA,2009,"CMC","sampled","record_keeping",1
"LDP","1","N","IP","2",NA,2009,"CMC","Schismus_arabicus","annual",0.08
"LDP","1","N","P","1",NA,2009,"CMC","Amsinckia_menziesii","annual",0.001
"LDP","1","N","P","1",NA,2009,"CMC","Draba_cuneifolia","annual",0.03
"LDP","1","N","P","1",NA,2009,"CMC","Erodium_cicutarium","annual",0.03
"LDP","1","N","P","1",NA,2009,"CMC","Larrea_base","plot characteristic",0.02
"LDP","1","N","P","1",NA,2009,"CMC","Pectocarya","annual",0.45
"LDP","1","N","P","1",NA,2009,"CMC","sampled","record_keeping",1
"LDP","1","N","P","1",NA,2009,"CMC","Schismus_arabicus","annual",0.1
"LDP","1","N","P","1",NA,2009,"CMC","total_shrub_cover","plot characteristic",0.65
"LDP","1","N","P","2",NA,2009,"SLC","Ambrosia_base","plot characteristic",0.05
"LDP","1","N","P","2",NA,2009,"SLC","Ambrosia_stem","plot characteristic",0.35
"LDP","1","N","P","2",NA,2009,"SLC","Amsinckia_menziesii","annual",0.01
"LDP","1","N","P","2",NA,2009,"SLC","Draba_cuneifolia","annual",0.001
"LDP","1","N","P","2",NA,2009,"SLC","Larrea_base","plot characteristic",0.04
"LDP","1","N","P","2",NA,2009,"SLC","Pectocarya","annual",0.4
"LDP","1","N","P","2",NA,2009,"SLC","sampled","record_keeping",1
"LDP","1","N","P","2",NA,2009,"SLC","Schismus_arabicus","annual",0.05
"LDP","1","N","P","2",NA,2009,"SLC","Sonchus_oleraceus","annual",0.001
"LDP","1","N","P","2",NA,2009,"SLC","total_shrub_cover","plot characteristic",1.15
"LDP","3","NP","IP","1",NA,2009,"CMC","Amsinckia_menziesii","annual",0.03
"LDP","3","NP","IP","1",NA,2009,"CMC","Crassula_connata","annual",0.01
"LDP","3","NP","IP","1",NA,2009,"CMC","Eucrypta_chrysanthemifolia","annual",0.001
"LDP","3","NP","IP","1",NA,2009,"CMC","Lepidium_lasiocarpum","annual",0.001
"LDP","3","NP","IP","1",NA,2009,"CMC","Pectocarya","annual",0.25
"LDP","3","NP","IP","1",NA,2009,"CMC","sampled","record_keeping",1
"LDP","3","NP","IP","1",NA,2009,"CMC","Schismus_arabicus","annual",0.35
"LDP","3","NP","IP","2",NA,2009,"SLC","Amsinckia_menziesii","annual",0.001
"LDP","3","NP","IP","2",NA,2009,"SLC","Draba_cuneifolia","annual",0.01
"LDP","3","NP","IP","2",NA,2009,"SLC","Erodium_cicutarium","annual",0.01
"LDP","3","NP","IP","2",NA,2009,"SLC","Logfia_arizonica","annual",0.001
"LDP","3","NP","IP","2",NA,2009,"SLC","Pectocarya","annual",0.45
"LDP","3","NP","IP","2",NA,2009,"SLC","sampled","record_keeping",1
"LDP","3","NP","IP","2",NA,2009,"SLC","Schismus_arabicus","annual",0.3
"LDP","3","NP","P","1",NA,2009,"SLC","Ambrosia_base","plot characteristic",0.03
"LDP","3","NP","P","1",NA,2009,"SLC","Ambrosia_stem","plot characteristic",0.15
"LDP","3","NP","P","1",NA,2009,"SLC","Amsinckia_menziesii","annual",0.35
"LDP","3","NP","P","1",NA,2009,"SLC","Bromus_rubens","annual",0.001
"LDP","3","NP","P","1",NA,2009,"SLC","Caulanthus_lasiophyllus","annual",0.001
"LDP","3","NP","P","1",NA,2009,"SLC","Crassula_connata","annual",0.001
"LDP","3","NP","P","1",NA,2009,"SLC","Larrea_base","plot characteristic",0.07
"LDP","3","NP","P","1",NA,2009,"SLC","Pectocarya","annual",0.5
"LDP","3","NP","P","1",NA,2009,"SLC","sampled","record_keeping",1
"LDP","3","NP","P","1",NA,2009,"SLC","Schismus_arabicus","annual",0.1
"LDP","3","NP","P","1",NA,2009,"SLC","total_shrub_cover","plot characteristic",0.9
"LDP","3","NP","P","2",NA,2009,"SLC","Ambrosia_base","plot characteristic",0.05
"LDP","3","NP","P","2",NA,2009,"SLC","Ambrosia_stem","plot characteristic",0.4
"LDP","3","NP","P","2",NA,2009,"SLC","Amsinckia_menziesii","annual",0.05
"LDP","3","NP","P","2",NA,2009,"SLC","Draba_cuneifolia","annual",0.001
"LDP","3","NP","P","2",NA,2009,"SLC","Larrea_base","plot characteristic",0.04
"LDP","3","NP","P","2",NA,2009,"SLC","Pectocarya","annual",0.4
"LDP","3","NP","P","2",NA,2009,"SLC","sampled","record_keeping",1
"LDP","3","NP","P","2",NA,2009,"SLC","Schismus_arabicus","annual",0.25
"LDP","3","NP","P","2",NA,2009,"SLC","Sonchus_oleraceus","annual",0.001
"LDP","3","NP","P","2",NA,2009,"SLC","total_shrub_cover","plot characteristic",0.9
"LDP","4","P","IP","1",NA,2009,"CMC","Amsinckia_menziesii","annual",0.02
"LDP","4","P","IP","1",NA,2009,"CMC","Pectocarya","annual",0.3
"LDP","4","P","IP","1",NA,2009,"CMC","Plantago_ovata","annual",0.001
"LDP","4","P","IP","1",NA,2009,"CMC","sampled","record_keeping",1
"LDP","4","P","IP","1",NA,2009,"CMC","Schismus_arabicus","annual",0.1
"LDP","4","P","IP","2",NA,2009,"SLC","Amsinckia_menziesii","annual",0.02
"LDP","4","P","IP","2",NA,2009,"SLC","Crassula_connata","annual",0.001
"LDP","4","P","IP","2",NA,2009,"SLC","Erodium_texanum","annual",0.01
"LDP","4","P","IP","2",NA,2009,"SLC","Lotus_humistratus","annual",0.001
"LDP","4","P","IP","2",NA,2009,"SLC","Lotus_strigosus","annual",0.001
"LDP","4","P","IP","2",NA,2009,"SLC","Pectocarya","annual",0.25
"LDP","4","P","IP","2",NA,2009,"SLC","Physaria_gordonii","annual",0.001
"LDP","4","P","IP","2",NA,2009,"SLC","sampled","record_keeping",1
"LDP","4","P","IP","2",NA,2009,"SLC","Schismus_arabicus","annual",0.01
"LDP","4","P","P","1",NA,2009,"CMC","Ambrosia_base","plot characteristic",0.02
"LDP","4","P","P","1",NA,2009,"CMC","Amsinckia_menziesii","annual",0.04
"LDP","4","P","P","1",NA,2009,"CMC","Bromus_rubens","annual",0.03
"LDP","4","P","P","1",NA,2009,"CMC","Daucus_pusillus","annual",0.001
"LDP","4","P","P","1",NA,2009,"CMC","Draba_cuneifolia","annual",0.001
"LDP","4","P","P","1",NA,2009,"CMC","Erodium_cicutarium","annual",0.001
"LDP","4","P","P","1",NA,2009,"CMC","Larrea_base","plot characteristic",0.03
"LDP","4","P","P","1",NA,2009,"CMC","Pectocarya","annual",0.3
"LDP","4","P","P","1",NA,2009,"CMC","sampled","record_keeping",1
"LDP","4","P","P","1",NA,2009,"CMC","Schismus_arabicus","annual",0.1
"LDP","4","P","P","1",NA,2009,"CMC","total_shrub_cover","plot characteristic",1.15
"LDP","4","P","P","2",NA,2009,"SLC","Amsinckia_menziesii","annual",0.1
"LDP","4","P","P","2",NA,2009,"SLC","Erodium_cicutarium","annual",0.01
"LDP","4","P","P","2",NA,2009,"SLC","Larrea_base","plot characteristic",0.04
