"run_id","field_id","collection_date","notes","analyte_name","concentration","site_code"
"36","LDP.IP CNTL1",2008-09-08,NA,"Ammonia",1.56,"LDP"
"36","LDP.IP CNTL1",2008-09-08,NA,"NItrate/Nitrite",1.49,"LDP"
"36","LDP.IP CNTL2",2008-09-08,NA,"Ammonia",0.628,"LDP"
"36","LDP.IP CNTL2",2008-09-08,NA,"NItrate/Nitrite",0.631,"LDP"
"36","LDP.IP CNTL3",2008-09-08,NA,"Ammonia",0.0552,"LDP"
"36","LDP.IP CNTL3",2008-09-08,NA,"NItrate/Nitrite",0.0827,"LDP"
"36","LDP.IP1",2008-09-08,NA,"Ammonia",7.35,"LDP"
"36","LDP.IP1",2008-09-08,NA,"NItrate/Nitrite",6.2,"LDP"
"36","LDP.IP2",2008-09-08,NA,"Ammonia",7.12,"LDP"
"36","LDP.IP2",2008-09-08,NA,"NItrate/Nitrite",6.7,"LDP"
"36","LDP.LATR CNTL1",2008-09-08,NA,"Ammonia",0.411,"LDP"
"36","LDP.LATR CNTL1",2008-09-08,NA,"NItrate/Nitrite",0.268,"LDP"
"36","LDP.LATR CNTL2",2008-09-08,NA,"Ammonia",0.361,"LDP"
"36","LDP.LATR CNTL2",2008-09-08,NA,"NItrate/Nitrite",0.565,"LDP"
"36","LDP.LATR CNTL3",2008-09-08,NA,"Ammonia",3.42,"LDP"
"36","LDP.LATR CNTL3",2008-09-08,NA,"NItrate/Nitrite",0.328,"LDP"
"36","LDP.LATR1",2008-09-08,"soil in cap, possibly contact with resin","Ammonia",15.8,"LDP"
"36","LDP.LATR1",2008-09-08,"soil in cap, possibly contact with resin","NItrate/Nitrite",6.09,"LDP"
"36","LDP.LATR2",2008-09-08,NA,"Ammonia",9.69,"LDP"
"36","LDP.LATR2",2008-09-08,NA,"NItrate/Nitrite",7.67,"LDP"
"36","MCN.IP1",2008-09-08,NA,"Ammonia",6.84,"MCN"
"36","MCN.IP1",2008-09-08,NA,"NItrate/Nitrite",6.31,"MCN"
"36","MCN.IP2",2008-09-08,NA,"Ammonia",5.65,"MCN"
