"site_code","application_date","nitrogen","phosphorus"
"DBG",2008-06-26,3.429,12
"LDP",2008-06-26,3.429,12
"MCN",2008-06-26,3.429,12
"MCS",2008-06-26,3.429,12
"MVP",2008-06-26,3.429,12
"PWP",2008-06-26,3.429,12
"SME",2008-06-26,3.429,12
"SMW",2008-06-26,3.429,12
"SRR",2008-06-26,3.429,12
"UMP",2008-06-26,3.429,12
"EME",2008-06-27,3.429,12
"EMW",2008-06-27,3.429,12
"SNE",2008-06-27,3.429,12
"SNW",2008-06-27,3.429,12
"WTM",2008-06-27,3.429,12
"MVP",2009-01-13,3.429,12
"PWP",2009-01-13,3.429,12
"SME",2009-01-13,3.429,12
"SMW",2009-01-13,3.429,12
"EME",2009-01-14,3.429,12
"EMW",2009-01-14,3.429,12
"SNE",2009-01-14,3.429,12
"SNW",2009-01-14,3.429,12
"WTM",2009-01-14,3.429,12
"LDP",2009-01-15,3.429,12
"MCN",2009-01-15,3.429,12
"MCS",2009-01-15,3.429,12
"SRR",2009-01-15,3.429,12
"UMP",2009-01-15,3.429,12
"DBG",2009-01-16,3.429,12
"EME",2009-06-17,3.429,0
"EMW",2009-06-17,3.429,0
"SNE",2009-06-17,3.429,0
"SNW",2009-06-17,3.429,0
"WTM",2009-06-17,3.429,0
"DBG",2009-06-18,3.429,0
"MVP",2009-06-18,3.429,0
"PWP",2009-06-18,3.429,0
"SME",2009-06-18,3.429,0
"SMW",2009-06-18,3.429,0
"LDP",2009-06-19,3.429,0
"MCN",2009-06-19,3.429,0
"MCS",2009-06-19,3.429,0
"SRR",2009-06-19,3.429,0
"UMP",2009-06-19,3.429,0
"LDP",2009-12-16,3.429,1.224
"SRR",2009-12-16,3.429,1.224
"UMP",2009-12-16,3.429,1.224
"EME",2009-12-17,3.429,1.224
"EMW",2009-12-17,3.429,1.224
"MCN",2009-12-17,3.429,1.224
"MCS",2009-12-17,3.429,1.224
"MVP",2009-12-17,3.429,1.224
"PWP",2009-12-17,3.429,1.224
"WTM",2009-12-17,3.429,1.224
"DBG",2009-12-18,3.429,1.224
"SME",2009-12-18,3.429,1.224
"SMW",2009-12-18,3.429,1.224
"SNE",2009-12-18,3.429,1.224
"SNW",2009-12-18,3.429,1.224
"MVP",2010-06-15,3.429,1.224
"PWP",2010-06-15,3.429,1.224
"SME",2010-06-15,3.429,1.224
"SMW",2010-06-15,3.429,1.224
"LDP",2010-06-16,3.429,1.224
"MCN",2010-06-16,3.429,1.224
"MCS",2010-06-16,3.429,1.224
"SRR",2010-06-16,3.429,1.224
"UMP",2010-06-16,3.429,1.224
"DBG",2010-06-17,3.429,1.224
"EME",2010-06-17,3.429,1.224
"EMW",2010-06-17,3.429,1.224
"WTM",2010-06-17,3.429,1.224
"SNE",2010-06-18,3.429,1.224
"SNW",2010-06-18,3.429,1.224
"LDP",2011-02-14,3.429,1.224
"MCN",2011-02-14,3.429,1.224
"MCS",2011-02-14,3.429,1.224
"SRR",2011-02-14,3.429,1.224
"UMP",2011-02-14,3.429,1.224
"SME",2011-02-15,3.429,1.224
"SMW",2011-02-15,3.429,1.224
"SNE",2011-02-15,3.429,1.224
"SNW",2011-02-15,3.429,1.224
"EME",2011-02-16,3.429,1.224
"EMW",2011-02-16,3.429,1.224
"MVP",2011-02-16,3.429,1.224
"WTM",2011-02-16,3.429,1.224
"DBG",2011-02-17,3.429,1.224
"PWP",2011-02-17,3.429,1.224
"EME",2011-06-15,3.429,1.224
"EMW",2011-06-15,3.429,1.224
"MVP",2011-06-15,3.429,1.224
"WTM",2011-06-15,3.429,1.224
"LDP",2011-06-16,3.429,1.224
"MCN",2011-06-16,3.429,1.224
"MCS",2011-06-16,3.429,1.224
"PWP",2011-06-16,3.429,1.224
"SRR",2011-06-16,3.429,1.224
"UMP",2011-06-16,3.429,1.224
"DBG",2011-06-17,3.429,1.224
"SME",2011-06-17,3.429,1.224
"SMW",2011-06-17,3.429,1.224
"SNE",2011-06-17,3.429,1.224
"SNW",2011-06-17,3.429,1.224
"EME",2012-01-09,3.429,1.224
"EMW",2012-01-09,3.429,1.224
"MVP",2012-01-09,3.429,1.224
"PWP",2012-01-09,3.429,1.224
"WTM",2012-01-09,3.429,1.224
"DBG",2012-01-10,3.429,1.224
"SME",2012-01-10,3.429,1.224
"SMW",2012-01-10,3.429,1.224
"SNE",2012-01-10,3.429,1.224
"SNW",2012-01-10,3.429,1.224
"LDP",2012-01-11,3.429,1.224
"MCN",2012-01-11,3.429,1.224
"MCS",2012-01-11,3.429,1.224
"SRR",2012-01-11,3.429,1.224
"UMP",2012-01-11,3.429,1.224
"LDP",2012-06-20,3.429,1.224
"MCN",2012-06-20,3.429,1.224
"MCS",2012-06-20,3.429,1.224
"SRR",2012-06-20,3.429,1.224
"UMP",2012-06-20,3.429,1.224
"DBG",2012-06-21,3.429,1.224
"MVP",2012-06-21,3.429,1.224
"PWP",2012-06-21,3.429,1.224
"SME",2012-06-21,3.429,1.224
"SMW",2012-06-21,3.429,1.224
"EME",2012-06-22,3.429,1.224
"EMW",2012-06-22,3.429,1.224
"SNE",2012-06-22,3.429,1.224
"SNW",2012-06-22,3.429,1.224
"WTM",2012-06-22,3.429,1.224
"EME",2013-01-22,3.429,1.224
"EMW",2013-01-22,3.429,1.224
"MVP",2013-01-22,3.429,1.224
"PWP",2013-01-22,3.429,1.224
"WTM",2013-01-22,3.429,1.224
"SME",2013-01-23,3.429,1.224
"SMW",2013-01-23,3.429,1.224
"SNE",2013-01-23,3.429,1.224
"SNW",2013-01-23,3.429,1.224
"DBG",2013-01-24,3.429,1.224
"LDP",2013-01-24,3.429,1.224
"MCN",2013-01-24,3.429,1.224
"MCS",2013-01-24,3.429,1.224
"SRR",2013-01-24,3.429,1.224
"UMP",2013-01-24,3.429,1.224
"LDP",2013-06-19,3.429,1.224
"MCN",2013-06-19,3.429,1.224
"MCS",2013-06-19,3.429,1.224
"SRR",2013-06-19,3.429,1.224
"UMP",2013-06-19,3.429,1.224
"DBG",2013-06-20,3.429,1.224
"EME",2013-06-20,3.429,1.224
"EMW",2013-06-20,3.429,1.224
"WTM",2013-06-20,3.429,1.224
"SNE",2013-06-21,3.429,1.224
"SNW",2013-06-21,3.429,1.224
"MVP",2013-06-24,3.429,1.224
"PWP",2013-06-24,3.429,1.224
"SME",2013-06-24,3.429,1.224
"SMW",2013-06-24,3.429,1.224
"LDP",2014-01-15,3.429,1.224
"MCN",2014-01-15,3.429,1.224
"MCS",2014-01-15,3.429,1.224
"SRR",2014-01-15,3.429,1.224
"UMP",2014-01-15,3.429,1.224
"EME",2014-01-16,3.429,1.224
"EMW",2014-01-16,3.429,1.224
"SME",2014-01-16,3.429,1.224
"SMW",2014-01-16,3.429,1.224
"WTM",2014-01-16,3.429,1.224
"MVP",2014-01-17,3.429,1.224
"PWP",2014-01-17,3.429,1.224
"SNE",2014-01-17,3.429,1.224
"SNW",2014-01-17,3.429,1.224
"DBG",2014-01-21,3.429,1.224
"SME",2015-07-20,3.429,1.224
"SMW",2015-07-20,3.429,1.224
"SNE",2015-07-20,3.429,1.224
"SNW",2015-07-20,3.429,1.224
"DBG",2015-07-21,3.429,1.224
"MCN",2015-07-21,3.429,1.224
"MCS",2015-07-21,3.429,1.224
"EME",2015-07-22,3.429,1.224
"EMW",2015-07-22,3.429,1.224
"MVP",2015-07-22,3.429,1.224
"PWP",2015-07-22,3.429,1.224
"WTM",2015-07-22,3.429,1.224
"LDP",2015-07-23,3.429,1.224
"SRR",2015-07-23,3.429,1.224
"UMP",2015-07-23,3.429,1.224
"MVP",2016-02-09,3.429,1.224
"PWP",2016-02-09,3.429,1.224
"SME",2016-02-09,3.429,1.224
"SMW",2016-02-09,3.429,1.224
"SNE",2016-02-09,3.429,1.224
"SNW",2016-02-09,3.429,1.224
"LDP",2016-02-10,3.429,1.224
"MCN",2016-02-10,3.429,1.224
"MCS",2016-02-10,3.429,1.224
"SRR",2016-02-10,3.429,1.224
"UMP",2016-02-10,3.429,1.224
"DBG",2016-02-11,3.429,1.224
"EME",2016-02-11,3.429,1.224
"EMW",2016-02-11,3.429,1.224
"WTM",2016-02-11,3.429,1.224
"MVP",2016-08-12,1.715,1.224
"PWP",2016-08-12,1.715,1.224
"SME",2016-08-12,1.715,1.224
"SMW",2016-08-12,1.715,1.224
"LDP",2016-08-13,1.715,1.224
"SNW",2016-08-13,1.715,1.224
"SRR",2016-08-13,1.715,1.224
"UMP",2016-08-13,1.715,1.224
"DBG",2016-08-15,1.715,1.224
"EME",2016-08-15,1.715,1.224
"EMW",2016-08-15,1.715,1.224
"MCN",2016-08-15,1.715,1.224
"MCS",2016-08-15,1.715,1.224
"WTM",2016-08-15,1.715,1.224
"SNE",2016-08-31,1.715,1.224
"SMW",2017-01-13,1.715,1.224
"MCN",2017-02-08,1.715,1.224
"MCS",2017-02-08,1.715,1.224
"SRR",2017-02-08,1.715,1.224
"EME",2017-02-09,1.715,1.224
"EMW",2017-02-09,1.715,1.224
"MVP",2017-02-09,1.715,1.224
"PWP",2017-02-09,1.715,1.224
"WTM",2017-02-09,1.715,1.224
"SNE",2017-02-10,1.715,1.224
"SNW",2017-02-10,1.715,1.224
"DBG",2017-02-13,1.715,1.224
"LDP",2017-02-13,1.715,1.224
"SME",2017-02-13,1.715,1.224
"UMP",2017-02-13,1.715,1.224
"DBG",2017-06-12,1.715,1.224
"SNE",2017-06-12,1.715,1.224
"SNW",2017-06-12,1.715,1.224
"EME",2017-06-13,1.715,1.224
"EMW",2017-06-13,1.715,1.224
"WTM",2017-06-13,1.715,1.224
"LDP",2017-06-14,1.715,1.224
"MCN",2017-06-14,1.715,1.224
"MCS",2017-06-14,1.715,1.224
"SRR",2017-06-14,1.715,1.224
"UMP",2017-06-14,1.715,1.224
"MVP",2017-06-15,1.715,1.224
"PWP",2017-06-15,1.715,1.224
"SME",2017-06-15,1.715,1.224
"SMW",2017-06-15,1.715,1.224
"LDP",2018-02-05,1.715,1.224
"SRR",2018-02-05,1.715,1.224
"UMP",2018-02-05,1.715,1.224
"SME",2018-02-06,1.715,1.224
"SMW",2018-02-06,1.715,1.224
"SNE",2018-02-06,1.715,1.224
"SNW",2018-02-06,1.715,1.224
"EME",2018-02-07,1.715,1.224
"EMW",2018-02-07,1.715,1.224
"MCN",2018-02-07,1.715,1.224
"MCS",2018-02-07,1.715,1.224
"WTM",2018-02-07,1.715,1.224
"DBG",2018-02-08,1.715,1.224
"MVP",2018-02-08,1.715,1.224
"PWP",2018-02-08,1.715,1.224
"LDP",2018-06-21,1.715,1.224
"SME",2018-06-21,1.715,1.224
"SMW",2018-06-21,1.715,1.224
"SRR",2018-06-21,1.715,1.224
"UMP",2018-06-21,1.715,1.224
"DBG",2018-06-22,1.715,1.224
"MCN",2018-06-22,1.715,1.224
"MCS",2018-06-22,1.715,1.224
"MVP",2018-06-22,1.715,1.224
"PWP",2018-06-22,1.715,1.224
"EME",2018-07-02,1.715,1.224
"EMW",2018-07-02,1.715,1.224
"WTM",2018-07-02,1.715,1.224
"SNE",2018-07-03,1.715,1.224
"SNW",2018-07-03,1.715,1.224
"SNE",2018-11-27,1.715,1.224
"SNW",2018-11-27,1.715,1.224
"MVP",2018-11-28,1.715,1.224
"PWP",2018-11-29,1.715,1.224
"DBG",2018-11-30,1.715,1.224
"LDP",2018-11-30,1.715,1.224
"SRR",2018-11-30,1.715,1.224
"UMP",2018-11-30,1.715,1.224
"MCN",2018-12-03,1.715,1.224
"MCS",2018-12-03,1.715,1.224
"EME",2018-12-04,1.715,1.224
"EMW",2018-12-04,1.715,1.224
"WTM",2018-12-04,1.715,1.224
"SME",2018-12-05,1.715,1.224
"SMW",2018-12-05,1.715,1.224
"MVP",2019-08-12,1.715,1.224
"PWP",2019-08-12,1.715,1.224
"SME",2019-08-12,1.715,1.224
"SMW",2019-08-12,1.715,1.224
"DBG",2019-08-15,1.715,1.224
"EME",2019-08-19,1.715,1.224
"EMW",2019-08-19,1.715,1.224
"WTM",2019-08-19,1.715,1.224
"LDP",2019-08-20,1.715,1.224
"MCN",2019-08-20,1.715,1.224
"MCS",2019-08-20,1.715,1.224
"SRR",2019-08-20,1.715,1.224
"UMP",2019-08-20,1.715,1.224
"SNE",2019-08-23,1.715,1.224
"SNW",2019-08-23,1.715,1.224
"MCN",2020-03-02,1.715,1.224
"MCS",2020-03-02,1.715,1.224
"EMW",2020-03-03,1.715,1.224
"WTM",2020-03-03,1.715,1.224
"SME",2020-03-04,1.715,1.224
"LDP",2020-03-05,1.715,1.224
"SRR",2020-03-05,1.715,1.224
"PWP",2020-03-06,1.715,1.224
"SMW",2020-03-06,1.715,1.224
"EME",2020-03-23,1.715,1.224
"DBG",2020-03-26,1.715,1.224
"SNE",2020-03-26,1.715,1.224
"SNW",2020-03-26,1.715,1.224
"MVP",2020-03-27,1.715,1.224
"UMP",2020-03-27,1.715,1.224
"EME",2020-08-06,1.715,1.224
"EMW",2020-08-06,1.715,1.224
"SNE",2020-08-06,1.715,1.224
"SNW",2020-08-06,1.715,1.224
"WTM",2020-08-06,1.715,1.224
"DBG",2020-08-07,1.715,1.224
"MVP",2020-08-07,1.715,1.224
"PWP",2020-08-07,1.715,1.224
"SME",2020-08-07,1.715,1.224
"SMW",2020-08-07,1.715,1.224
"LDP",2020-08-08,1.715,1.224
"MCN",2020-08-08,1.715,1.224
"MCS",2020-08-08,1.715,1.224
"SRR",2020-08-08,1.715,1.224
"UMP",2020-08-08,1.715,1.224
"EME",2021-02-05,1.715,1.224
