"site_code","plot_id","treatment_code","start_date","end_date","analyte","final_value","flag","location_within_plot","num_cation_probes","num_anion_probes","notes"
"SMW","42","N",2008-06-18,2008-07-29,"NH4-N",2.2,NA,"under_plant",4,4,NA
"SMW","42","N",2008-06-18,2008-07-29,"NH4-N",1,"below detection limit","between_plant",4,4,NA
"SMW","43","P",2008-06-18,2008-07-29,"Total-N",125.6,NA,"under_plant",4,4,NA
"SMW","42","N",2008-06-18,2008-07-29,"Total-N",308.8,NA,"between_plant",4,4,NA
"SMW","42","N",2008-06-18,2008-07-29,"Total-N",389.4,NA,"under_plant",4,4,NA
"PWP","35","P",2008-06-18,2008-07-29,"Total-N",50.8,NA,"between_plant",4,4,NA
"PWP","35","P",2008-06-18,2008-07-29,"Total-N",66.2,NA,"under_plant",4,4,NA
"BLK","76","C1",2008-06-18,2008-07-31,"Total-N",10,NA,"blank",3,3,NA
"BLK","77","C1",2008-06-18,2008-07-31,"Total-N",9.2,NA,"blank",4,4,NA
"SMW","45","NP",2008-06-18,2008-07-29,"Total-N",461.8,NA,"between_plant",4,4,NA
"SMW","45","NP",2008-06-18,2008-07-29,"NH4-N",9.2,NA,"between_plant",4,4,NA
"SMW","45","NP",2008-06-18,2008-07-29,"NH4-N",5.2,NA,"under_plant",4,4,NA
"SMW","44","C1",2008-06-18,2008-07-29,"NH4-N",4.6,NA,"between_plant",4,4,NA
"SMW","44","C1",2008-06-18,2008-07-29,"NH4-N",2,"below detection limit","under_plant",4,4,NA
"SMW","43","P",2008-06-18,2008-07-29,"NH4-N",1.6,"below detection limit","between_plant",3,4,NA
"SMW","43","P",2008-06-18,2008-07-29,"NH4-N",3.4,NA,"under_plant",4,4,NA
"SMW","45","NP",2008-06-18,2008-07-29,"Total-N",402.6,NA,"under_plant",4,4,NA
"SMW","44","C1",2008-06-18,2008-07-29,"Total-N",181.8,NA,"between_plant",4,4,NA
"SMW","44","C1",2008-06-18,2008-07-29,"Total-N",214.2,NA,"under_plant",4,4,NA
"SMW","43","P",2008-06-18,2008-07-29,"Total-N",284.2,NA,"between_plant",3,4,NA
"BLK","77","C1",2008-06-18,2008-07-31,"NH4-N",4.4,NA,"blank",4,4,NA
"BLK","76","C1",2008-06-18,2008-07-31,"NH4-N",3.2,NA,"blank",3,3,NA
"PWP","34","NP",2008-06-18,2008-07-29,"Total-N",386.4,NA,"between_plant",4,4,NA
"PWP","34","NP",2008-06-18,2008-07-29,"Total-N",217.8,NA,"under_plant",4,4,NA
"PWP","33","C1",2008-06-18,2008-07-29,"Total-N",160.6,NA,"between_plant",4,4,NA
"PWP","33","C1",2008-06-18,2008-07-29,"Total-N",239.5,NA,"under_plant",4,4,NA
"PWP","31","N",2008-06-18,2008-07-29,"Total-N",289.8,NA,"between_plant",4,4,NA
"PWP","31","N",2008-06-18,2008-07-29,"Total-N",416.4,NA,"under_plant",4,4,NA
"SME","29","C1",2008-06-18,2008-07-29,"Total-N",338,NA,"between_plant",4,4,NA
"SME","29","C1",2008-06-18,2008-07-29,"Total-N",502.2,NA,"under_plant",4,4,NA
"SME","28","P",2008-06-18,2008-07-29,"Total-N",82.4,NA,"between_plant",4,4,NA
"SME","28","P",2008-06-18,2008-07-29,"Total-N",306.2,NA,"under_plant",4,4,NA
"SME","27","NP",2008-06-18,2008-07-29,"Total-N",776.3,NA,"between_plant",3,4,NA
"SME","27","NP",2008-06-18,2008-07-29,"Total-N",1057.4,NA,"under_plant",4,4,NA
"SME","26","N",2008-06-18,2008-07-29,"Total-N",527.5,NA,"between_plant",3,2,NA
"SME","26","N",2008-06-18,2008-07-29,"Total-N",579.8,NA,"under_plant",3,3,NA
"BLK","77","C1",2008-06-18,2008-07-31,"NO3-N",4.8,NA,"blank",4,4,NA
"BLK","76","C1",2008-06-18,2008-07-31,"NO3-N",6.8,NA,"blank",3,3,NA
"SMW","45","NP",2008-06-18,2008-07-29,"NO3-N",452.6,NA,"between_plant",4,4,NA
"SMW","45","NP",2008-06-18,2008-07-29,"NO3-N",397.4,NA,"under_plant",4,4,NA
"SMW","44","C1",2008-06-18,2008-07-29,"NO3-N",177.2,NA,"between_plant",4,4,NA
"SMW","44","C1",2008-06-18,2008-07-29,"NO3-N",212.2,NA,"under_plant",4,4,NA
"SMW","43","P",2008-06-18,2008-07-29,"NO3-N",282.6,NA,"between_plant",3,4,NA
"SMW","43","P",2008-06-18,2008-07-29,"NO3-N",122.2,NA,"under_plant",4,4,NA
"SMW","42","N",2008-06-18,2008-07-29,"NO3-N",307.8,NA,"between_plant",4,4,NA
"SMW","42","N",2008-06-18,2008-07-29,"NO3-N",387.2,NA,"under_plant",4,4,NA
"PWP","35","P",2008-06-18,2008-07-29,"NO3-N",49.6,NA,"between_plant",4,4,NA
"PWP","35","P",2008-06-18,2008-07-29,"NO3-N",66.2,NA,"under_plant",4,4,NA
"PWP","34","NP",2008-06-18,2008-07-29,"NO3-N",362.2,NA,"between_plant",4,4,NA
"PWP","34","NP",2008-06-18,2008-07-29,"NO3-N",215.8,NA,"under_plant",4,4,NA
"PWP","33","C1",2008-06-18,2008-07-29,"NO3-N",160,NA,"between_plant",4,4,NA
"PWP","33","C1",2008-06-18,2008-07-29,"NO3-N",235.4,NA,"under_plant",4,4,NA
"PWP","31","N",2008-06-18,2008-07-29,"NO3-N",272.4,NA,"between_plant",4,4,NA
"PWP","31","N",2008-06-18,2008-07-29,"NO3-N",415.2,NA,"under_plant",4,4,NA
"SME","29","C1",2008-06-18,2008-07-29,"NO3-N",336.6,NA,"between_plant",4,4,NA
"SME","29","C1",2008-06-18,2008-07-29,"NO3-N",502.2,NA,"under_plant",4,4,NA
"SME","28","P",2008-06-18,2008-07-29,"NO3-N",81.6,NA,"between_plant",4,4,NA
"SME","28","P",2008-06-18,2008-07-29,"NO3-N",306.2,NA,"under_plant",4,4,NA
"SME","27","NP",2008-06-18,2008-07-29,"NO3-N",771.2,NA,"between_plant",3,4,NA
"SME","27","NP",2008-06-18,2008-07-29,"NO3-N",1052,NA,"under_plant",4,4,NA
"SME","26","N",2008-06-18,2008-07-29,"NO3-N",519.7,NA,"between_plant",3,2,NA
"SME","26","N",2008-06-18,2008-07-29,"NO3-N",575,NA,"under_plant",3,3,NA
"SME","26","N",2008-06-18,2008-07-29,"NH4-N",4.8,NA,"under_plant",3,3,NA
"SME","26","N",2008-06-18,2008-07-29,"NH4-N",7.8,NA,"between_plant",3,2,NA
"SME","27","NP",2008-06-18,2008-07-29,"NH4-N",5.4,NA,"under_plant",4,4,NA
"SME","27","NP",2008-06-18,2008-07-29,"NH4-N",5.1,NA,"between_plant",3,4,NA
"SME","28","P",2008-06-18,2008-07-29,"NH4-N",0,"below detection limit","under_plant",4,4,NA
"SME","28","P",2008-06-18,2008-07-29,"NH4-N",0.8,"below detection limit","between_plant",4,4,NA
"SME","29","C1",2008-06-18,2008-07-29,"NH4-N",0,"below detection limit","under_plant",4,4,NA
"SME","29","C1",2008-06-18,2008-07-29,"NH4-N",1.4,"below detection limit","between_plant",4,4,NA
"PWP","31","N",2008-06-18,2008-07-29,"NH4-N",1.2,"below detection limit","under_plant",4,4,NA
"PWP","31","N",2008-06-18,2008-07-29,"NH4-N",17.4,NA,"between_plant",4,4,NA
"PWP","33","C1",2008-06-18,2008-07-29,"NH4-N",4.1,NA,"under_plant",4,4,NA
"PWP","33","C1",2008-06-18,2008-07-29,"NH4-N",0.6,"below detection limit","between_plant",4,4,NA
"PWP","34","NP",2008-06-18,2008-07-29,"NH4-N",2,"below detection limit","under_plant",4,4,NA
"PWP","34","NP",2008-06-18,2008-07-29,"NH4-N",24.2,NA,"between_plant",4,4,NA
"PWP","35","P",2008-06-18,2008-07-29,"NH4-N",0,"below detection limit","under_plant",4,4,NA
"PWP","35","P",2008-06-18,2008-07-29,"NH4-N",1.2,"below detection limit","between_plant",4,4,NA
"DBG","50","C1",2008-06-19,2008-07-31,"Total-N",164.8,NA,"under_plant",3,3,NA
"LDP","5","C1",2008-06-19,2008-07-30,"NO3-N",75,NA,"under_plant",4,4,NA
"LDP","4","P",2008-06-19,2008-07-30,"NO3-N",67.8,NA,"between_plant",4,4,NA
"LDP","4","P",2008-06-19,2008-07-30,"NO3-N",125.6,NA,"under_plant",4,4,NA
"LDP","3","NP",2008-06-19,2008-07-30,"NO3-N",149.8,NA,"between_plant",4,4,NA
"LDP","3","NP",2008-06-19,2008-07-30,"NO3-N",166.2,NA,"under_plant",4,4,NA
"LDP","1","N",2008-06-19,2008-07-30,"NO3-N",106.2,NA,"between_plant",4,4,NA
"LDP","1","N",2008-06-19,2008-07-30,"NO3-N",199.2,NA,"under_plant",4,4,NA
"DBG","50","C1",2008-06-19,2008-07-31,"NH4-N",1,"below detection limit","between_plant",4,4,NA
"DBG","50","C1",2008-06-19,2008-07-31,"NH4-N",0,"below detection limit","under_plant",3,3,NA
"DBG","49","N",2008-06-19,2008-07-31,"NH4-N",6.2,NA,"between_plant",4,4,NA
"DBG","49","N",2008-06-19,2008-07-31,"NH4-N",4,NA,"under_plant",4,4,NA
"DBG","48","NP",2008-06-19,2008-07-31,"NH4-N",24.4,NA,"between_plant",4,4,NA
"DBG","48","NP",2008-06-19,2008-07-31,"NH4-N",9.6,NA,"under_plant",4,4,NA
"DBG","46","P",2008-06-19,2008-07-31,"NH4-N",2.2,NA,"between_plant",4,4,NA
"DBG","46","P",2008-06-19,2008-07-31,"NH4-N",2,"below detection limit","under_plant",4,4,NA
"LDP","5","C1",2008-06-19,2008-07-30,"NH4-N",0,"below detection limit","between_plant",4,4,NA
"LDP","5","C1",2008-06-19,2008-07-30,"NH4-N",0.8,"below detection limit","under_plant",4,4,NA
"LDP","4","P",2008-06-19,2008-07-30,"NH4-N",1.2,"below detection limit","between_plant",4,4,NA
"LDP","4","P",2008-06-19,2008-07-30,"NH4-N",0,"below detection limit","under_plant",4,4,NA
"LDP","1","N",2008-06-19,2008-07-30,"NH4-N",1.2,"below detection limit","between_plant",4,4,NA
"LDP","3","NP",2008-06-19,2008-07-30,"NH4-N",0,"below detection limit","under_plant",4,4,NA
"LDP","1","N",2008-06-19,2008-07-30,"NH4-N",0,"below detection limit","under_plant",4,4,NA
"LDP","3","NP",2008-06-19,2008-07-30,"NH4-N",0,"below detection limit","between_plant",4,4,NA
"LDP","5","C1",2008-06-19,2008-07-30,"NO3-N",98.8,NA,"between_plant",4,4,NA
"DBG","46","P",2008-06-19,2008-07-31,"NO3-N",203,NA,"under_plant",4,4,NA
"DBG","46","P",2008-06-19,2008-07-31,"NO3-N",96.8,NA,"between_plant",4,4,NA
"DBG","48","NP",2008-06-19,2008-07-31,"NO3-N",716.2,NA,"under_plant",4,4,NA
"DBG","48","NP",2008-06-19,2008-07-31,"NO3-N",454.2,NA,"between_plant",4,4,NA
"DBG","49","N",2008-06-19,2008-07-31,"NO3-N",520.6,NA,"under_plant",4,4,NA
"DBG","49","N",2008-06-19,2008-07-31,"NO3-N",250,NA,"between_plant",4,4,NA
"DBG","50","C1",2008-06-19,2008-07-31,"NO3-N",164.8,NA,"under_plant",3,3,NA
"DBG","50","C1",2008-06-19,2008-07-31,"NO3-N",140,NA,"between_plant",4,4,NA
"LDP","1","N",2008-06-19,2008-07-30,"Total-N",199.2,NA,"under_plant",4,4,NA
"LDP","1","N",2008-06-19,2008-07-30,"Total-N",107.4,NA,"between_plant",4,4,NA
"LDP","3","NP",2008-06-19,2008-07-30,"Total-N",166.2,NA,"under_plant",4,4,NA
"LDP","3","NP",2008-06-19,2008-07-30,"Total-N",149.8,NA,"between_plant",4,4,NA
"LDP","4","P",2008-06-19,2008-07-30,"Total-N",125.6,NA,"under_plant",4,4,NA
"LDP","4","P",2008-06-19,2008-07-30,"Total-N",69,NA,"between_plant",4,4,NA
"LDP","5","C1",2008-06-19,2008-07-30,"Total-N",75.8,NA,"under_plant",4,4,NA
"LDP","5","C1",2008-06-19,2008-07-30,"Total-N",98.8,NA,"between_plant",4,4,NA
"DBG","46","P",2008-06-19,2008-07-31,"Total-N",205,NA,"under_plant",4,4,NA
"DBG","46","P",2008-06-19,2008-07-31,"Total-N",99,NA,"between_plant",4,4,NA
"DBG","48","NP",2008-06-19,2008-07-31,"Total-N",725.8,NA,"under_plant",4,4,NA
"DBG","48","NP",2008-06-19,2008-07-31,"Total-N",478.6,NA,"between_plant",4,4,NA
"DBG","49","N",2008-06-19,2008-07-31,"Total-N",524.6,NA,"under_plant",4,4,NA
"DBG","49","N",2008-06-19,2008-07-31,"Total-N",256.2,NA,"between_plant",4,4,NA
"DBG","50","C1",2008-06-19,2008-07-31,"Total-N",141,NA,"between_plant",4,4,NA
"SRR","14","P",2008-06-20,2008-07-30,"NO3-N",328.8,NA,"under_plant",4,4,NA
"MCN","20","NP",2008-06-20,2008-07-30,"NH4-N",0.6,"below detection limit","between_plant",4,4,NA
"MCN","20","NP",2008-06-20,2008-07-30,"NH4-N",2.2,NA,"under_plant",4,4,NA
"MCN","18","C1",2008-06-20,2008-07-30,"NH4-N",0,"below detection limit","between_plant",4,4,NA
"MCN","18","C1",2008-06-20,2008-07-30,"NH4-N",0.6,"below detection limit","under_plant",4,4,NA
"MCN","17","P",2008-06-20,2008-07-30,"NH4-N",1.8,"below detection limit","between_plant",4,4,NA
"MCN","17","P",2008-06-20,2008-07-30,"NH4-N",0.6,"below detection limit","under_plant",4,4,NA
"MCN","16","N",2008-06-20,2008-07-30,"NH4-N",5,NA,"between_plant",4,4,NA
"MCN","16","N",2008-06-20,2008-07-30,"NH4-N",1.6,"below detection limit","under_plant",4,4,NA
"SRR","15","N",2008-06-20,2008-07-30,"NH4-N",3.2,NA,"between_plant",4,4,NA
"SRR","15","N",2008-06-20,2008-07-30,"NH4-N",9.1,NA,"under_plant",4,4,NA
"SRR","14","P",2008-06-20,2008-07-30,"NH4-N",2,"below detection limit","between_plant",4,4,NA
"SRR","14","P",2008-06-20,2008-07-30,"NH4-N",0.8,"below detection limit","under_plant",4,4,NA
"SRR","13","C1",2008-06-20,2008-07-30,"NH4-N",0.8,"below detection limit","between_plant",4,4,NA
"SRR","13","C1",2008-06-20,2008-07-30,"NH4-N",0.8,"below detection limit","under_plant",4,4,NA
"SRR","12","NP",2008-06-20,2008-07-30,"NH4-N",1.6,"below detection limit","between_plant",4,4,NA
"SRR","12","NP",2008-06-20,2008-07-30,"NH4-N",4,NA,"under_plant",4,4,NA
"UMP","10","N",2008-06-20,2008-07-30,"NH4-N",6.8,NA,"between_plant",4,4,NA
"UMP","10","N",2008-06-20,2008-07-30,"NH4-N",1.8,"below detection limit","under_plant",4,4,NA
"UMP","9","C1",2008-06-20,2008-07-30,"NH4-N",1,"below detection limit","between_plant",4,4,NA
"UMP","9","C1",2008-06-20,2008-07-30,"NH4-N",0.2,"below detection limit","under_plant",4,4,NA
"UMP","8","P",2008-06-20,2008-07-30,"NH4-N",0,"below detection limit","between_plant",4,4,NA
"UMP","8","P",2008-06-20,2008-07-30,"NH4-N",1.8,"below detection limit","under_plant",4,4,NA
"UMP","6","NP",2008-06-20,2008-07-30,"NH4-N",6.6,NA,"between_plant",4,4,NA
"UMP","6","NP",2008-06-20,2008-07-30,"NH4-N",1.8,"below detection limit","under_plant",4,4,NA
"UMP","6","NP",2008-06-20,2008-07-30,"Total-N",668,NA,"under_plant",4,4,NA
"UMP","6","NP",2008-06-20,2008-07-30,"Total-N",344.2,NA,"between_plant",4,4,NA
"UMP","8","P",2008-06-20,2008-07-30,"Total-N",394.2,NA,"under_plant",4,4,NA
"UMP","8","P",2008-06-20,2008-07-30,"Total-N",130.6,NA,"between_plant",4,4,NA
"UMP","9","C1",2008-06-20,2008-07-30,"Total-N",378,NA,"under_plant",4,4,NA
"UMP","9","C1",2008-06-20,2008-07-30,"Total-N",101.6,NA,"between_plant",4,4,NA
"UMP","10","N",2008-06-20,2008-07-30,"Total-N",323,NA,"under_plant",4,4,NA
"UMP","10","N",2008-06-20,2008-07-30,"Total-N",484.8,NA,"between_plant",4,4,NA
"SRR","12","NP",2008-06-20,2008-07-30,"Total-N",452.2,NA,"under_plant",4,4,NA
"SRR","12","NP",2008-06-20,2008-07-30,"Total-N",497.4,NA,"between_plant",4,4,NA
"SRR","13","C1",2008-06-20,2008-07-30,"Total-N",155.8,NA,"under_plant",4,4,NA
