"site_code","plot_id","treatment_code","sample_date","season_year","tissue_type","analyte","Weight","percent_composition","Comment"
"EMW","62","NP",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",1.931,50.98,NA
"EMW","62","NP",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",1.931,6.68,NA
"EMW","62","NP",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",1.931,2.74,NA
"WTM","75","N",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",2.21,48.72,NA
"WTM","75","N",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",2.21,6.64,NA
"WTM","75","N",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",2.21,2.92,NA
"WTM","74","P",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",1.838,47.44,NA
"WTM","74","P",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",1.838,6.45,NA
"WTM","74","P",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",1.838,3.07,NA
"WTM","73","NP",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",2.176,48.47,NA
"WTM","73","NP",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",2.176,6.66,NA
"WTM","73","NP",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",2.176,2.82,NA
"WTM","71","C1",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",1.933,49.24,NA
"WTM","71","C1",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",1.933,6.64,NA
"WTM","71","C1",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",1.933,2.93,NA
"EME","70","P",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",2.152,49.31,NA
"EME","70","P",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",2.152,6.62,NA
"EME","70","P",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",2.152,2.51,NA
"EME","68","NP",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",2.246,50.33,NA
"EME","68","NP",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",2.246,6.79,NA
"EME","68","NP",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",2.246,2.86,NA
"EME","67","N",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",2.063,46.74,NA
"EME","67","N",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",2.063,5.86,NA
"EME","67","N",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",2.063,2.74,NA
"EMW","64","C1",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",2.067,53.43,NA
"EMW","64","C1",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",2.067,6.94,NA
"EMW","64","C1",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",2.067,2.55,NA
"EMW","63","P",2015-10-07,"fall_2015","Larrea tridentata","Carbon %",2.117,50.98,NA
"EMW","63","P",2015-10-07,"fall_2015","Larrea tridentata","Hydrogen %",2.117,6.83,NA
"EMW","63","P",2015-10-07,"fall_2015","Larrea tridentata","Nitrogen %",2.117,2.71,NA
"SNW","60","C1",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",1.919,48.7,NA
"SNW","60","C1",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",1.919,6.83,NA
"SNW","60","C1",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",1.919,3.13,NA
"SNW","59","NP",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",2.077,48.39,NA
"SNW","59","NP",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",2.077,6.65,NA
"SNW","59","NP",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",2.077,3.53,NA
"SNW","57","P",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",2.085,48.55,NA
"SNW","57","P",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",2.085,6.78,NA
"SNW","57","P",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",2.085,3.54,NA
"SNW","56","N",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",1.985,47.73,NA
"SNW","56","N",2015-10-09,"fall_2015","Larrea tridentata","Hydrogen %",1.985,6.6,NA
"SNW","56","N",2015-10-09,"fall_2015","Larrea tridentata","Nitrogen %",1.985,3.63,NA
"SNE","55","P",2015-10-09,"fall_2015","Larrea tridentata","Carbon %",2.024,41,NA
