"site_code","plot_id","treatment_code","sample_date","season_year","tissue_type","instrument","isotope_element","concentration","source_file"
"DBG","50","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNE","51","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SNW","60","C1",2009-10-05,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EME","66","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"EMW","64","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"LDP","5","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"WTM","71","C1",2009-10-06,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCN","18","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MCS","24","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"PWP","33","C1",2009-10-07,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"MVP","38","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
"SRR","13","C1",2009-10-08,"fall_2009","Larrea tridentata","ICP-MS","101Ru",0,"Cndep_ICP_MS_02252014 _(Corrected on 11302017).xlsm"
